,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
86,HIGHER (Instrumental),spotify:track:27Ni9AndLQ37ZszZPIALdC,Higher (WOOYOUNG Version),spotify:album:4fcBlbbFz3MkCgJsaz9T5i,2PM,spotify:artist:5iRPbkcPmqAFFwDUj6ywVS,2015-10-21,0,185293
87,Memory,spotify:track:1D2q6hSvszRsNz0pPeJEGT,THANKS TO,spotify:album:38ZDY8JrXknqQ85paMmnJo,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2013-09-23,30,195470
88,Love In The Rain,spotify:track:0T0syy0C56SpykF1UtL4lH,FIRST STEP (1),spotify:album:4Ty85EGCANvI9RdAM4oy4J,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2011-03-21,29,299441
89,온몸이 반응해 My Reaction,spotify:track:3nK5STzHTTtAkHHlPwh9XP,Just right,spotify:album:4159syQKTGC1JSJN4xBScv,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2015-07-13,36,220034
90,Wanna Be Like U,spotify:track:1l8mEJRycLE2ZuzlZ4vlfr,FIRST STEP (1),spotify:album:4Ty85EGCANvI9RdAM4oy4J,CNBLUE,spotify:artist:6dCz3spfpIvqqqsIoP6wXi,2011-03-21,17,215902
91,THURSDAY,spotify:track:3v5BOhyPrVQN7PYE6JnY7j,Call My Name,spotify:album:76B3bEVEuCnZTkwhOXdjmg,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2019-11-04,54,206577
92,Real,spotify:track:00h7A7FiQlo5wOMcJpCyGr,Replay - The First Mini Album,spotify:album:2zarKiOQYtJ9PGWxYxUOk5,SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR,2008-05-22,26,214533
93,Try Pinching Me,spotify:track:3jsKZjBW8ZTm8oXug6IAyz,Double Date,spotify:album:2i5P0S9yPQHtWqaaz6ORhr,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-10-26,6,229464
94,Senorita,spotify:track:1AiRc0B8aW2pQ0AquB4O2T,ROMEO - The Second Mini Album,spotify:album:16atzZZUKzxdfcLUxh1J4N,SHINee,spotify:artist:2hRQKC0gqlZGPrmUKbcchR,2009-05-25,24,211080
95,AMAZING,spotify:track:6kNKmmp0QvEAaOKw0iR5s2,DORADORA,spotify:album:5uppLPLH6UkXptmSgZ4ZAz,U-KISS,spotify:artist:2GB76Lm833jVI5kLvKEB7Z,2012-04-25,7,211644
96,You Calling My Name,spotify:track:6f4wghlwYWGLqGEIKc6HDQ,Call My Name,spotify:album:76B3bEVEuCnZTkwhOXdjmg,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2019-11-04,67,194707
97,Loveship,spotify:track:6Hqk3UKf4uIrdbkJvwM7y3,Loveship,spotify:album:6bwWdBKK3YGxgFJkZ8BYVQ,Paul Kim,spotify:artist:4qRXrzUmdy3p33lgvJEzdv,2020-01-21,47,259866
98,THE New Era,spotify:track:6gJJ3geKv7UkSxOD2JmTQC,The New Era (Special Edition),spotify:album:5th9ym279qG6pjSklZNsCw,GOT7,spotify:artist:6nfDaffa50mKtEOwR8g4df,2018-06-20,42,219680
99,Gone Bad,spotify:track:3LeCm71qSoUAtwjmCZTMpM,RUSH DIGITAL REPACKAGE “HERO”,spotify:album:0rsnG5TJ9jv9XuLgri1E77,Monsta X,spotify:artist:4TnGh5PKbSjpYqpIdlW5nz,2015-10-22,23,222374
100,Gentleman,spotify:track:69f0fCzCGq0T3miI1aivvz,Piano Man,spotify:album:1E1dfdqofKqvpCfsKuBvA1,MAMAMOO,spotify:artist:0XATRDCYuuGhk0oE7C0o5G,2014-11-21,33,220751
101,Into You,spotify:track:1ySJm5XCFatpIz0j8NFlra,Into You,spotify:album:3Q33VTKlvcTy5wPTqpwDlK,KOLAJ,spotify:artist:0hhL0iOf9ebHlwxWQyeH2w,2016-06-10,36,225420
102,I Will Give You My Life,spotify:track:5cEZOEJ4l7woIkv50FZw6l,Don`t Stop Can`t Stop,spotify:album:6pVbeWyYFE6vf0Q2rhpkLA,2PM,spotify:artist:5iRPbkcPmqAFFwDUj6ywVS,2010-04-20,12,188866
103,I Hope,spotify:track:4LJePVcNTjcrbC7HVTCKby,Double Date,spotify:album:2i5P0S9yPQHtWqaaz6ORhr,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2009-10-26,14,230400
104,YESSIR,spotify:track:1yMsoegdqTlWOXAyO20D24,Stop It,spotify:album:3Mpge7adWdwiSdFwnlEfRR,B.A.P,spotify:artist:6kxCoNfY6U1eP0Yc88phvk,2012-10-23,15,75833
105,Time To,spotify:track:58BnaCNeqViG1fUQjQN51Z,I WILL,spotify:album:7oDeUhWPlVzjSOJYDvbD33,FTISLAND,spotify:artist:6KhH771vq2X2Aom91nNzpZ,2015-03-23,17,198145
106,CHEER UP,spotify:track:4CeE0LU1SkHshwHeMfPwqk,Page Two,spotify:album:78YI3q126L1plYhXxn7rUL,TWICE,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,2016-04-25,66,208853
107,Intro - Hot Issue,spotify:track:6KDTPqz8GMqD1JxtxIU9bM,Hot Issue,spotify:album:4qpzzLtl5ksEnhryRUrNQC,BIGBANG,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX,2007-11-22,16,82746
