,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
51,Diva,spotify:track:6FsuOI41Up2n5SsR25uNPv,Because of You,spotify:album:5gYRiAIuyb6yFdrG5sXfLG,After School,spotify:artist:1loWI8jVk9btgJXHgqHXPD,2009-11-25,21,199183
52,MIC Drop,spotify:track:2SYa5Lx1uoCvyDIW4oee9b,Love Yourself 承 'Her',spotify:album:2FTS6a6DLXMNp8flyA0HGO,BTS,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,2017-09-18,64,238193
55,LION,spotify:track:40OyiVO9NtBg9R2Gpwxs3u,I trust,spotify:album:57sl8AvqVqm4Fadre0z8FQ,(G)I-DLE,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx,2020-04-06,64,210973
56,So Into U,spotify:track:183rP1cwTfACvHVl2pxy5L,Pinocchio -The 1st Album,spotify:album:1NiVUXOzLEaI1qmDxU2L3J,f(x),spotify:artist:3wRA5UYoo08BBKJnzyKkpF,2011-04-20,22,215880
57,FIVE,spotify:track:2x1d6tYlsTn9fydVzxXLY9,Pink Up,spotify:album:2p4xK1mKnoZnPwtHUljelp,Apink,spotify:artist:2uWcrwgWmZcQc3IPBs3tfU,2017-06-26,40,192406
58,Wake me up,spotify:track:2WS6017NZSXaXzgW9KV1TN,B1A4 station Square,spotify:album:6UxmSF7cQ5jlUoD3DRZvS9,B1A4,spotify:artist:3sxWOFw4MSN54SIQ8np6iG,2018-02-21,1,212826
60,Horizon,spotify:track:7aq8t9D82PJuqH7TFT4W6O,TREASURE EPILOGUE : Action To Answer,spotify:album:3TTkDOcSzRQCvGMT7VmmPE,ATEEZ,spotify:artist:68KmkJeZGfwe1OUaivBa2L,2020-01-06,59,191720
61,プロミス,spotify:track:6xZFzZGCUgH7QxYBdRXY4C,FANTASTIC GIRLS,spotify:album:2ITsBcGT1xxWIF05c5QsXk,KARA,spotify:artist:7aZ221EQfonNG2lO9Hh192,2013-01-01,5,286773
62,Viva,spotify:track:43bPKNokHMESAik2vme6HU,Catch Me,spotify:album:5IW0qKf43owlKTiI5NsKBm,TVXQ!,spotify:artist:6nVMMEywS5Y4tsHPKx1nIo,2012-09-24,19,195026
63,Sleepy Dream,spotify:track:3x1MHTGscP10rGPTnIUzSZ,Muse on Music,spotify:album:6fbOUzs6Ecz1QL0bHnpKJx,Lovelyz,spotify:artist:3g34PW5oNmDBxMVUTzx2XK,2018-09-10,7,230629
