,name,album,artist,release_date,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
37,光年之外 (電影 《Passengers》 中國區主題曲),光年之外 (電影 《Passengers》 中國區主題曲),G.E.M.,2016-12-30,64,0.4,0.539,235505,0.668,0.0,1,0.0864,-6.825,0,0.0825,175.867,4,0.238
38,多遠都要在一起,新的心跳,G.E.M.,2015-11-06,53,0.319,0.51,217720,0.53,0.0,3,0.102,-6.532,1,0.0312,135.726,4,0.136
39,"我多喜歡你,你會知道 - 網劇《致我們單純的小美好》推廣曲","我多喜歡你,你會知道 (網劇《致我們單純的小美好》推廣曲)",Wang Jun Qi,2017-10-03,57,0.526,0.777,199679,0.35,0.0,3,0.13,-10.179,1,0.0333,108.024,4,0.516
40,놓아 놓아 놓아 Letting Go,DAYDREAM,DAY6,2016-03-30,58,0.0959,0.389,229973,0.607,0.0,5,0.199,-4.923,0,0.039,169.971,4,0.204
41,반드시 웃는다 I Smile,SUNRISE,DAY6,2017-06-07,57,0.00513,0.48,227159,0.858,0.0,4,0.134,-3.091,1,0.0336,123.928,4,0.25
42,DANCE DANCE,SUNRISE,DAY6,2017-06-07,53,0.00144,0.422,223190,0.759,0.0,4,0.119,-2.536,1,0.053,170.189,4,0.56
43,Free하게 Freely,The Day,DAY6,2015-09-07,46,0.0145,0.666,187613,0.898,0.0,2,0.314,-3.751,1,0.0691,127.012,4,0.581
44,Artificial Grass,PLAY,AKMU,2014-04-07,40,0.226,0.729,225911,0.694,0.0,1,0.675,-5.294,1,0.0358,111.999,4,0.78
45,Galaxy,PLAY,AKMU,2014-04-07,37,0.749,0.822,179136,0.429,0.0,4,0.1,-6.034,1,0.0659,124.99,4,0.781
46,Good as Hell,Good as Hell,Lizzo,2016-03-09,70,0.256,0.682,159735,0.919,0.0,0,0.442,-3.18,0,0.0875,95.982,4,0.535
47,Juice,Cuz I Love You,Lizzo,2019-04-19,78,0.00611,0.767,195144,0.889,0.0,7,0.402,-2.988,1,0.0963,119.93,4,0.843
48,Boys,Cuz I Love You (Deluxe),Lizzo,2019-04-18,50,0.00319,0.892,172630,0.588,0.000162,1,0.0498,-4.287,0,0.11,120.042,4,0.753
49,Water Me,Cuz I Love You (Deluxe),Lizzo,2019-05-03,49,0.0292,0.67,185594,0.966,0.0,3,0.185,-1.994,0,0.177,113.046,4,0.77
50,Sign of the Times,Harry Styles,Harry Styles,2017-05-12,83,0.0275,0.516,340706,0.595,0.0,5,0.109,-4.63,1,0.0313,119.972,4,0.222
51,Lemon,Lemon,Kenshi Yonezu,2018-03-14,65,0.366,0.532,256106,0.661,0.0,11,0.354,-4.924,1,0.0268,86.983,4,0.446
52,orion,Bootleg,Kenshi Yonezu,2017-11-01,55,0.103,0.702,281906,0.614,0.0,8,0.231,-4.93,1,0.028,104.022,4,0.507
53,ピースサイン,Bootleg,Kenshi Yonezu,2017-11-01,73,0.00221,0.593,238533,0.935,0.0,10,0.315,-3.853,0,0.0684,100.003,4,0.618
54,Zenzenzense - movie ver.,Your Name.,RADWIMPS,2016-08-24,67,0.000439,0.321,285880,0.906,0.0,11,0.0862,-3.967,1,0.141,189.776,4,0.641
55,Sparkle - movie ver.,Your Name.,RADWIMPS,2016-08-24,68,0.687,0.372,537653,0.426,0.00784,11,0.109,-8.421,1,0.0339,123.993,4,0.287
56,Voice of Wind (Movie Edit),Weathering With You,RADWIMPS,2019-07-19,46,0.0288,0.519,157080,0.924,0.0,7,0.223,-2.392,1,0.0542,119.969,4,0.883
57,Is There Still Anything That Love Can Do?,Weathering With You,RADWIMPS,2019-07-19,60,0.362,0.536,414466,0.403,0.0,9,0.292,-6.38,1,0.0335,141.551,4,0.246
58,RED,RED,The Rose,2019-08-13,61,0.223,0.623,176466,0.75,0.0,8,0.0915,-2.263,1,0.0353,128.067,4,0.516
59,BABY,Void,The Rose,2018-04-16,55,0.0337,0.647,173599,0.804,0.0,11,0.119,-5.416,0,0.13,121.799,4,0.516
60,sorry,Void,The Rose,2018-04-16,65,0.462,0.379,215475,0.631,0.0,10,0.305,-4.701,1,0.0339,173.896,4,0.359
61,EMERGENCY,The Book of Us : Entropy,DAY6,2019-10-22,47,0.0352,0.774,197959,0.957,0.0,9,0.0509,-2.628,1,0.112,144.011,4,0.923
62,좋은걸 뭐 어떡해 What Can I Do,MOONRISE,DAY6,2017-12-06,52,0.0374,0.602,232666,0.834,0.0,2,0.43,-3.775,1,0.0488,130.032,4,0.39
63,장난 아닌데 I'm Serious,SUNRISE,DAY6,2017-06-07,53,0.00611,0.593,194148,0.915,0.0,2,0.148,-2.396,1,0.0405,123.93,4,0.675
64,Man in a movie,SUNRISE,DAY6,2017-06-07,47,0.00635,0.627,226944,0.76,0.0,4,0.201,-3.373,0,0.03,120.002,3,0.481
65,Better Better,MOONRISE,DAY6,2017-12-06,47,0.0405,0.531,210705,0.825,0.0,6,0.655,-2.571,0,0.0404,136.002,4,0.276
66,2 years apart,The Manual Deluxe Edition,Eddy Kim,2014-07-18,31,0.308,0.795,231215,0.384,2.17e-06,11,0.11,-7.819,0,0.136,105.044,4,0.727
67,어젯밤 이야기 [Eojetbam Iyagi] : Last night story,꽃갈피 둘 [Kkot-Galpi #2] : A flower bookmark,IU,2017-09-22,45,0.0904,0.599,233050,0.786,0.000474,6,0.0247,-4.795,0,0.0573,170.855,4,0.631
68,가을 아침 [Gaeul Achim] : Autumn morning,가을 아침 [Gaeul Achim] : Autumn morning,IU,2017-09-18,53,0.791,0.57,218884,0.316,0.0,9,0.337,-7.22,1,0.136,171.094,4,0.547
69,Congratulations,Before We Begin,Eric Nam,2019-11-14,58,0.352,0.531,176440,0.504,0.0,9,0.0739,-4.012,1,0.108,85.396,4,0.368
70,Runaway,Before We Begin,Eric Nam,2019-11-14,48,0.253,0.745,207558,0.766,0.0,5,0.395,-3.923,0,0.0545,118.067,4,0.782
71,Miss You,Miss You,Eric Nam,2018-10-30,46,0.522,0.846,172634,0.57,0.0,7,0.148,-5.735,0,0.0743,108.025,4,0.785
72,Honestly,Honestly,Eric Nam,2018-04-11,57,0.0706,0.75,206848,0.799,0.0,0,0.377,-2.788,0,0.0697,110.991,4,0.462
