,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
3940,Ice Ice,spotify:track:142KEuaZKcjpSqYybDu68D,A+,spotify:album:2lCP8HWiKphRT1pmtn0zYw,HyunA,spotify:artist:3UwlejyX2b458azZ7eCnHb,2015-08-21,40,196826
4376,HORIZON,spotify:track:1r246NLH1h9IJNrlyKG1Db,VOICE,spotify:album:0sbwoolm9aZGBPBEqoU3CX,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2019-05-13,40,231958
1480,소나타 (Play Me),spotify:track:7vD0cw4mYu0054vPZjmVTN,ACE - The 1st Mini Album,spotify:album:1QQ0J1e6itmf2lufaeFfo5,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2014-08-19,40,181098
5095,Time And Fallen Leaves,spotify:track:5Qy4FxZ6FtNwWmRaLi6Fcu,Time And Fallen Leaves,spotify:album:3rF55htTUDmzgxJ5CT3XQC,AKMU,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv,2014-10-10,40,247435
1554,Inspiration,spotify:track:6pm8EwMGn8RAqNS7JIyHqT,Inspiration - SM STATION,spotify:album:3OMOAdPaOxez8Adn1lavXc,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2016-12-09,40,217538
139,Night,spotify:track:2JKvo8OPwSxeTfIEe37GZ5,MAGENTA,spotify:album:7L2jDMk6IZChhMxPdJMJ6i,KANG DANIEL,spotify:artist:5vGoWnZO65NBgiZYBmi3iW,2020-08-03,40,217346
4939,Runaway (feat. YUMDDA),spotify:track:7dGN5phHYNY4gBdMqj9Xn0,MAGENTA,spotify:album:7L2jDMk6IZChhMxPdJMJ6i,KANG DANIEL,spotify:artist:5vGoWnZO65NBgiZYBmi3iW,2020-08-03,40,195226
3445,Stop The Rain,spotify:track:2yB0QdoWwk0z5l9UhMesCV,INTERVIEW,spotify:album:0woMyvkTKuCuiMLvUi3BsH,Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM,2016-03-24,40,199654
2794,SIGNAL,spotify:track:1JXD1cLYGESNdNiumjE35F,VOICE,spotify:album:0sbwoolm9aZGBPBEqoU3CX,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2019-05-13,40,249986
3474,Young In Love,spotify:track:3T2In1aV3rdXSDCDOTNioF,Flourishing,spotify:album:1lNM7RF1SVUs66OtLj4MQh,CHUNG HA,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,2019-06-24,40,198819
988,Mystery Lover,spotify:track:1L0mEk7N0PTg17sy1b1XoI,Press It - The 1st Album,spotify:album:3BPjJEl3GqXKDhYZf7iFfs,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2016-02-23,40,218270
4075,BLACK,spotify:track:7BYGfn9F73atTWMdAHVdPk,COUP D'ETAT,spotify:album:4msI9bSfKohOPFic15aLR4,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,2013-09-05,40,203772
2126,I HOPE,spotify:track:3AEPerUHnO0wBCxJMXI5Kt,color on me,spotify:album:1sLN2NCHc58Dkl8hbSZfzb,KANG DANIEL,spotify:artist:5vGoWnZO65NBgiZYBmi3iW,2019-07-25,40,187040
1690,Moon,spotify:track:4fkmgDgXHfSi0VFz1wQqRb,SAILING,spotify:album:7C0Ci0alKWwwXPIFYEdVcn,AKMU,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv,2019-09-25,40,242684
5243,하루만이라도 Just for a day,spotify:track:1z7cBD7m0G9rPZWTeG2bgh,Poet | Artist,spotify:album:3KrFO9QDgfa4UAiqM6flTf,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2018-01-23,40,169673
5349,Find Me,spotify:track:71UON3eyYef8AB9gNWXcXM,Purpose - The 2nd Album Repackage,spotify:album:5IlYFprRPoMZ0qeNh6ghcs,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2020-01-15,40,247620
1219,CROOKED - JPN,spotify:track:1J9rrJC0aYnjYwlqFLDjs4,COUP D'ETAT [+ ONE OF A KIND & HEARTBREAKER],spotify:album:1mVPbaMZGsPh5gzhvO6BBX,G-DRAGON,spotify:artist:30b9WulBM8sFuBo17nNq9c,2013-11-27,40,226800
319,It’s You,spotify:track:1Du9g7ILOs5tgoEAPTxJM1,Where Stars Land Pt. 1 (Original Television Soundtrack),spotify:album:0SOZrGopETCWW79NECLmqJ,CHUNG HA,spotify:artist:2PSJ6YriU7JsFucxACpU7Y,2018-10-08,40,202904
2706,Cocktail,spotify:track:5d9KegKaWrrhQzFPmMFPWf,She is - The 1st Album,spotify:album:4Mqc9VJjX66n66tNzAhevq,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2016-05-24,39,219661
2714,"Endless dream, good night",spotify:track:1Tn3BfNkoQio5yL0ZbO2z8,SAILING,spotify:album:7C0Ci0alKWwwXPIFYEdVcn,AKMU,spotify:artist:6OwKE9Ez6ALxpTaKcT5ayv,2019-09-25,39,180527
2673,さよならひとり,spotify:track:4ltAvuYuC8PNKAStXiWouZ,さよならひとり,spotify:album:0VOMzswFy3fFsOb1tYs1Wd,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2016-07-27,39,210626
6035,Better Babe,spotify:track:6EYQPYvXFi0Yyt9sJSKWZU,Purpose - The 2nd Album Repackage,spotify:album:5IlYFprRPoMZ0qeNh6ghcs,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2020-01-15,39,251191
2389,TURNT AND BURNT,spotify:track:1QhmHYmtkPEXnM57IlDql0,VOICE,spotify:album:0sbwoolm9aZGBPBEqoU3CX,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2019-05-13,39,181490
6011,Interview,spotify:track:2izPoWJ6xAuZUNJkdXO3YS,INTERVIEW,spotify:album:0woMyvkTKuCuiMLvUi3BsH,Eric Nam,spotify:artist:2FLqlgckDKdmpBrvLAT5BM,2016-03-24,39,205503
3097,Snow Flower,spotify:track:3InOslAFajhD7rsywjklIC,MOVE-ing - The 2nd Album Repackage,spotify:album:31i2wyywO9KW24aJczGVWX,TAEMIN,spotify:artist:13rF01aOogvnkuQXOlgTW8,2017-12-10,39,274592
874,RINGA LINGA,spotify:track:01Cnk4mG7kAmqufoJx5epY,RISE,spotify:album:5g83RiFIYU6NlMIF5Wp8kk,TAEYANG,spotify:artist:6udveWUgX4vu75FF0DTrXV,2014-05-28,39,227021
5081,Love Belt,spotify:track:2aTHOil9DtzmdGMzSYJ5MU,BASE - The 1st Mini Album,spotify:album:0iwA2BU9jnxT11qkxC0rEO,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2015-01-12,39,211116
2521,Sentimental,spotify:track:6J8xXKZfWLUGijsztBfb6Z,Poet | Artist,spotify:album:3KrFO9QDgfa4UAiqM6flTf,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2018-01-23,39,205525
5862,Time Lapse,spotify:track:2Okv1MY4rnI3hHyDXqOdvs,My Voice - The 1st Album,spotify:album:6DlCl3hBP1Gwhn0tgitGfN,TAEYEON,spotify:artist:3qNVuliS40BLgXGxhdBdqu,2017-02-28,39,254669
4091,MISSING U,spotify:track:4uk677I1lb0ZPSXGhL2FcA,SEOULITE,spotify:album:3cGyWEJaQlj7kCdKBCOGeb,LeeHi,spotify:artist:7cVZApDoQZpS447nHTsNqu,2016-04-20,39,248051
4553,Fireplace,spotify:track:6X8cpgM2Cf3rnZqXxfSjHQ,"JONGHYUN The Collection ""Story Op.2""",spotify:album:3eHhVAhT8uCrEPlZywai3o,JONGHYUN,spotify:artist:5rGgflnIpRNizTCozbYBuY,2017-04-24,39,262513
5854,DDU-DU DDU-DU (Remix),spotify:track:3pkIaou3w14ytyKYZbg0hc,Kill This Love,spotify:album:3qw2vm3uqKT3EIg95wbg83,BLACKPINK,spotify:artist:41MozSoPIsD1dJM0CLPjZF,2019-04-05,39,201225
