,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
0,"우리 함께라면 (From. ""드라마 최강칠우"")",spotify:track:0CTOSVnM9PpeB5FW28fdAK,인연,spotify:album:4tNYcoG7KmE4toxCvnHKQA,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,2009-12-09,6,192473
1,오버 센스 - Remix version,spotify:track:3yBjWbZF6x7xud5yndy9VK,MILLENNIUM DANCE MEGAMIX,spotify:album:3jvN2pj94p2IJBQIoyDFF7,TURBO,spotify:artist:3aboSJaljyYlTRXt7pEH0G,1999-07-15,0,97097
2,Father,spotify:track:67GqQCeymrQlNkciuANkuV,No. 18,spotify:album:0y1oIfGo1T3NoHuC7lY8Rg,PSY,spotify:artist:2dd5mrQZvg6SmahdgVKDzh,2005-07-23,26,208546
3,Despacito - Remix,spotify:track:0Qs15CrEvM4rLabVSF9ECG,25 Ans Ultratop,spotify:album:033OTl57rnhrr0522v0UXe,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,2020-09-11,5,230693
4,Sunshine - Edit,spotify:track:2Orv75XbBYxVjXQdsAq0KZ,Beach Party!,spotify:album:0yyLR7lTfeRc3lXAFTGzOt,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,2020-07-24,0,207421
5,"Don’t Kill, Don’t Spill, Don’t Steal",spotify:track:2sKiTAqY3y0IR5K0yJdZuL,Dog,spotify:album:3jN7Mwt4ZI5KoeD4fASuB7,Kim Ximya,spotify:artist:2tB3jPHyyfcxvvor2flc1Q,2020-11-30,16,144235
6,Sexy And I Know It,spotify:track:4LO3o4LavQTRvHYgmyHowH,Lille fredag - Fest sange,spotify:album:6Vun34lOmlPfL9aNDBoqrM,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,2020-07-03,0,204933
7,Danza Kuduro 2019 - Diamont Dr,spotify:track:1bap8CkjggzxA7roUu4ADK,Joyeux Anniversaire,spotify:album:5kkADdcOYDnmxNaJmQ7QTG,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,2020-05-22,4,180704
8,Home,spotify:track:2FmcSFfHxSMBO30WoCPo9e,Summer Hits,spotify:album:3Z0dfRkomk2SQl6lpUsz0x,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,2020-07-24,0,198693
9,Si tu m'aimes,spotify:track:7aJrUl6OCPjqYFa3qx8XAj,Tik Tock Hits,spotify:album:4cYVA3FBgY3ZQBNlKOmUMd,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,2020-05-22,4,240786
10,Treading Water,spotify:track:36XHNQ9U1oI4O9PJEBV0ae,2010s Hits,spotify:album:3osVXujgOvetJpVtrTpDpc,Various Artists,spotify:artist:0LyfQWJT6nXafLPZqxe9Of,2020-05-22,0,178506
11,BLUE - [BIGBANG SPECIAL EVENT],spotify:track:3hhZWoEqCsnYQSWQrCKNug,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE-,spotify:album:2x0mqLWZ5IFcRAPOzJkloa,BIGBANG,spotify:artist:4Kxlr1PRlDKEB0ekOCyHgX,2018-03-14,22,235720
12,"3화- Skit. 설마 둘이..? (Narr. 유식, 가영)",spotify:track:6zto4mqjzBNbdTWXsLkext,21Month,spotify:album:3FtBN3ZrtAr97voOcFQBBK,SANTALKING,spotify:artist:77HDtMZuRbwmWPLrHZN142,2019-03-22,0,89000
