,song_name,song_uri,album,album_uri,artist,artist_uri,release_date,popularity,duration_ms
143,대낮에 한 이별 (Feat. 선예 (Wonder Girls)),spotify:track:6F5vMyogm4Rt6XrL1P8HT1,Back To Stage,spotify:album:41h8n1l24t2dq0N2e5lsll,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,1,271906
144,후회해 (Duet. 헤이즈),spotify:track:0G2FRPuTD7ND78fXjTuY7h,BLUE & RED,spotify:album:2p9v8WJEZwxrkFoBWfp869,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2017-10-16,0,217196
145,마지막 사랑 Last Love,spotify:track:0uemM7jMokhgbMKX8QM7a8,Spring - 5 Songs for a New Love,spotify:album:6RQZdu2K4DxbcCtChhrQWZ,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-04-29,5,240869
146,Dangerous Play,spotify:track:3xxLEGAhXtBRNtmxIRDbSM,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,11,199613
147,FEVER - Inst.,spotify:track:64MU3Nd5aBCgNILFjlv2RQ,FEVER,spotify:album:53TALEgFIb2n7aVBIrfyf0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2019-12-23,10,173925
148,마지막 사랑 (Last Love),spotify:track:2D1CrjN078x6L4rPE7J7Bp,Spring 새로운 사랑에게 보내는 다섯곡의 노래,spotify:album:3GgoKWOKym0Y4ZXWgGezGg,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-04-29,2,240869
149,The House You Live,spotify:track:69BNK96j5ppDhn1ZNNBbNh,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,25,227386
150,FEVER,spotify:track:7Aa6YkEgdUpE1GOfDFu6gj,FEVER,spotify:album:53TALEgFIb2n7aVBIrfyf0,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2019-12-23,23,173925
151,Kiss,spotify:track:4lLoeOgYmfqxRBvBFjGm3F,Back to Stage,spotify:album:6SmAKP3u529E7LpnjFsSVf,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,18,210760
152,"어머님이 누구니 Soul ver. (feat. 이진아, 지존) Who's your mama? Soul ver. (feat. Lee Jin Ah, JiJohn)",spotify:track:1bvOeyvMFzCNKIdvshyG2b,24/34,spotify:album:3FrWBm9x7rUnSVJQTHkSQ2,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2015-05-13,16,215663
153,Kiss,spotify:track:1N8Fuv9fVb5lQWEK3n3ARJ,Back To Stage,spotify:album:0R52ET7vG1Hy7eGouTxCve,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,6,210760
154,From room door to bed,spotify:track:0TGtyZuc9AbSdgIVQdYYuG,Game,spotify:album:02LpxUjhJDMYrXN0s69Ncu,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2001-06-07,15,199839
155,Kiss,spotify:track:46riXuR2Zb9TEl6bEnh27e,Back To Stage,spotify:album:41h8n1l24t2dq0N2e5lsll,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2007-11-16,2,210760
156,When We Disco,spotify:track:46gLZeEcuZwadJseEwFDVT,When We Disco,spotify:album:4Zn6LcHSE0hQgHjAT7Ob5a,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2020-08-12,43,224387
157,너뿐이야 You're the One,spotify:track:6hBsc4eltDQwjNhRCNZBQ2,Spring - 5 Songs for a New Love,spotify:album:5Ami0gmp8cK6rj6q0vrD8z,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-04-29,34,202249
158,Please,spotify:track:4sNRcLYCY6QuMIROAVPXk4,Spring - 5 Songs for a New Love,spotify:album:5Ami0gmp8cK6rj6q0vrD8z,J.Y. Park,spotify:artist:1TTx0YcbKUtJIZY1HEnh9B,2012-04-29,11,202199
